dstport,protocol,tag
39538,fire,sv_P4
12454,idrp,email
12857,dcn-meas,sv_P1
38856,pipe,sv_P3
56596,iptm,sv_P5
61474,uti,sv_P5
28451,encap,email
584,sat-expak,sv_P5
22712,uti,sv_P3
43557,dccp,sv_P4
53317,uti,sv_P3
42952,nsh,sv_P4
42233,dsr,sv_P4
4008,argus,email
63356,smp,sv_P1
37061,mtp,sv_P1
50356,idpr,sv_P3
40689,cftp,sv_P2
42596,wb-mon,email
11137,vmtp,sv_P5
59331,rvd,sv_P1
52460,ggp,email
32014,sat-expak,sv_P5
6265,pvp,sv_P2
39843,sm,sv_P1
29004,vines,sv_P2
45313,sun-nd,sv_P3
30149,egp,sv_P2
48313,idpr-cmtp,sv_P5
28962,eigrp,sv_P5
12305,mobility header,sv_P3
60123,egp,email
3787,dgp,sv_P3
51827,idpr,sv_P2
5442,sm,email
43828,hip,sv_P5
42992,vines,sv_P2
36657,icmp,sv_P5
43538,prm,sv_P5
18486,rohc,sv_P2
36617,igmp,sv_P2
64007,compaq-peer,sv_P2
17855,udplite,sv_P5
13853,skip,sv_P3
16697,cphb,sv_P4
11007,micp,sv_P5
40103,manet,sv_P2
15832,ddx,email
44086,mobility header,email
2718,rvd,sv_P3
31638,vmtp,sv_P5
12999,aris,sv_P1
40193,vrrp,sv_P5
4366,i-nlsp,sv_P3
33964,dccp,sv_P2
24929,netblt,email
32397,3pc,sv_P2
8727,hopopt,sv_P1
18913,dccp,sv_P3
13473,ipv6,email
22534,ipcv,email
5931,vmtp,sv_P2
54465,ggp,sv_P1
45120,ipv6,email
47231,sdrp,sv_P4
36359,pgm,sv_P1
22357,st,sv_P3
42707,argus,sv_P2
20392,hip,sv_P4
20040,nsh,email
23837,xtp,sv_P5
22820,igp,sv_P1
5337,leaf-2,sv_P2
59199,ipv6-opts,sv_P2
35446,wb-mon,sv_P5
48604,dsr,sv_P3
53281,hmp,sv_P1
7327,tlsp,sv_P4
51175,a/n,sv_P5
62981,etherip,sv_P4
36318,emcon,sv_P2
21941,sps,sv_P4
55811,sdrp,email
38170,wesp,sv_P5
50895,ipcv,sv_P4
41848,kryptolan,sv_P4
26457,rsvp,sv_P1
37020,xnet,sv_P1
24575,bna,email
16679,uti,email
64096,sprite-rpc,sv_P4
26435,hmp,sv_P3
17191,dcn-meas,sv_P2
63643,narp,sv_P2
11059,mpls-in-ip,sv_P4
12693,3pc,sv_P2
8128,idpr,sv_P4
19054,min-ipv4,sv_P2
65240,rsvp-e2e-ignore,sv_P5
46724,sdrp,sv_P3
57525,pgm,sv_P2
15283,iso-tp4,sv_P5
12774,sps,sv_P3
17591,nsh,sv_P1
27209,chaos,sv_P2
8717,leaf-2,sv_P2
56743,leaf-1,email
58271,srp,sv_P3
