dstport,protocol,tag
29226,ipv6,sv_P1
6511,dcn-meas,sv_P4
44575,rsvp-e2e-ignore,sv_P1
34907,wb-mon,sv_P3
48042,iso-ip,sv_P5
57401,ipx-in-ip,sv_P5
9640,idrp,email
24665,xtp,sv_P5
19143,aggfrag,sv_P1
58548,rdp,email
63498,3pc,sv_P4
24499,fire,sv_P1
14598,sdrp,email
15070,scps,sv_P3
38132,skip,sv_P4
30861,iso-tp4,sv_P2
11942,sctp,sv_P5
22911,uti,sv_P3
61579,leaf-1,sv_P5
54793,merit-inp,sv_P3
19477,cpnx,sv_P1
57531,crtp,sv_P4
50113,dcn-meas,sv_P5
52616,fc,sv_P5
20492,netblt,email
27485,icmp,sv_P2
34036,ptp,sv_P5
36660,dcn-meas,sv_P1
61647,vmtp,sv_P1
62112,st,email
31496,larp,sv_P3
65352,rdp,sv_P4
40165,sun-nd,sv_P4
50708,,sv_P3
48436,scps,sv_P4
8554,rohc,email
61563,iatp,email
34387,min-ipv4,sv_P4
52588,i-nlsp,sv_P5
48161,ddp,email
34825,sun-nd,email
35160,ddp,sv_P4
59652,cphb,sv_P4
24702,icmp,email
53564,narp,sv_P3
27684,cftp,sv_P3
18192,ipv6-frag,sv_P3
26333,xtp,sv_P5
9587,iso-tp4,sv_P1
37689,compaq-peer,email
44349,sat-expak,email
59568,leaf-2,sv_P5
53145,tlsp,sv_P1
8975,scps,sv_P4
25937,trunk-1,sv_P3
41519,emcon,email
56103,xnet,sv_P4
25238,ipx-in-ip,email
30352,aris,sv_P5
27829,l2tp,email
25356,sctp,sv_P1
2451,narp,sv_P4
58118,iplt,email
18576,emcon,sv_P5
3256,st,sv_P5
2834,mobility header,email
9345,secure-vmtp,email
53682,srp,sv_P5
52286,ipcomp,sv_P5
22561,3pc,email
3512,irtp,email
25318,mpls-in-ip,sv_P4
57785,pipe,sv_P1
60294,ipx-in-ip,sv_P2
33068,nsfnet-igp,sv_P4
3046,scps,sv_P1
44569,sat-mon,sv_P2
57687,idpr,email
32641,nsfnet-igp,sv_P5
62210,wb-mon,sv_P2
23124,hmp,sv_P2
62791,iso-ip,sv_P5
21038,gre,sv_P3
45613,i-nlsp,sv_P4
22158,sprite-rpc,sv_P5
36432,mux,sv_P4
237,sm (deprecated),sv_P5
81,vrrp,sv_P3
2703,ippc,email
31635,hopopt,sv_P1
25846,ipv6,sv_P3
31261,netblt,email
34267,gmtp,sv_P1
52155,secure-vmtp,email
61258,,email
27910,ax.25,email
25188,,sv_P4
578,cpnx,sv_P2
28320,nsfnet-igp,sv_P3
24773,gre,email
46269,min-ipv4,sv_P3
42659,ipx-in-ip,sv_P4
20121,scc-sp,sv_P4
35834,eigrp,sv_P2
59906,min-ipv4,sv_P4
56011,trunk-1,sv_P3
31538,leaf-1,sv_P5
56878,mpls-in-ip,sv_P2
11526,netblt,sv_P1
26285,aris,sv_P4
26688,merit-inp,sv_P4
10854,,sv_P3
42722,iptm,sv_P1
2672,tcp,email
58271,ddx,sv_P1
32500,micp (deprecated),sv_P5
5462,gre,email
42471,manet,sv_P5
2759,crtp,sv_P1
56658,netblt,sv_P2
35879,rvd,sv_P5
25112,cbt,sv_P1
53449,aggfrag,sv_P2
5180,ipcv,sv_P2
3663,ifmp,sv_P2
40070,xtp,sv_P5
11092,udplite,sv_P2
8403,esp,sv_P1
57115,pnni,email
17474,igp,sv_P5
64711,encap,sv_P5
27295,ipv4,sv_P2
4740,tlsp,sv_P3
57455,xnet,sv_P3
60830,ipv6,sv_P3
33073,3pc,email
12747,sprite-rpc,sv_P1
52082,fire,sv_P3
62625,dgp,sv_P4
60196,gre,sv_P3
35690,rdp,sv_P2
57823,dcn-meas,sv_P3
46026,ipv6,sv_P2
4935,vmtp,email
31457,micp (deprecated),email
8739,ptp,sv_P4
14906,igp,sv_P2
46588,pipe,sv_P1
2395,pipe,sv_P1
57004,xns-idp,sv_P3
25809,fc,sv_P5
49578,visa,sv_P2
39581,narp,sv_P2
25024,smp,sv_P4
17739,ipv4,sv_P5
53144,l2tp,sv_P5
31468,skip,sv_P3
53181,uti,sv_P4
44611,,sv_P1
58593,ipv6-opts,sv_P4
55206,emcon,email
59671,smp,sv_P5
170,vmtp,sv_P4
13890,dcn-meas,sv_P4
14177,sps,sv_P4
24841,gre,sv_P3
1843,ethernet,sv_P2
17324,rvd,sv_P3
61701,argus (deprecated),email
22634,sat-expak,sv_P3
53566,ah,sv_P3
25931,sscopmce,sv_P3
54515,min-ipv4,email
19847,kryptolan,sv_P4
34258,fire,sv_P1
14973,leaf-1,sv_P2
46396,igp,sv_P2
43625,trunk-2,sv_P4
46027,trunk-1,sv_P5
4866,igmp,sv_P5
53043,pim,sv_P5
20690,merit-inp,sv_P4
21669,mobility header,email
13386,wsn,sv_P1
45409,aris,sv_P3
59733,crudp,sv_P4
48138,a/n,sv_P1
26888,sps,sv_P2
45381,ippc,email
7475,aris,sv_P2
47293,l2tp,sv_P5
45914,ippc,sv_P5
27344,etherip,sv_P3
39339,gmtp,sv_P2
3254,leaf-1,sv_P1
26253,cphb,email
16721,ipv6,sv_P1
798,leaf-2,email
23975,sm (deprecated),sv_P2
36224,a/n,sv_P4
64315,fc,sv_P4
13250,3pc,sv_P1
46499,swipe (deprecated),sv_P2
32874,cbt,sv_P1
47631,tcf,sv_P3
14077,secure-vmtp,sv_P1
43117,rohc,sv_P3
18098,sdrp,sv_P2
56623,shim6,sv_P2
44615,nvp-ii,email
1536,ippc,sv_P1
50966,rsvp,sv_P3
64940,ipip,sv_P5
51906,dsr,email
36700,sat-mon,sv_P3
26810,il,email
4197,ifmp,sv_P2
38876,ipip,sv_P2
9140,smp,sv_P1
64950,nsfnet-igp,sv_P1
40017,irtp,sv_P2
30774,encap,email
26385,ifmp,sv_P4
40600,,sv_P1
1784,skip,sv_P1
58987,nvp-ii,email
35872,ipv6-nonxt,sv_P4
37266,pnni,email
19694,ipv6-opts,sv_P1
4509,encap,sv_P1
33726,mtp,sv_P1
33213,ifmp,sv_P2
44662,trunk-2,sv_P1
36944,rvd,sv_P3
29854,l2tp,sv_P5
12853,encap,sv_P5
10408,secure-vmtp,sv_P3
28008,ipip,sv_P2
6920,xtp,sv_P4
22539,eigrp,sv_P3
16978,leaf-1,sv_P2
65529,a/n,sv_P1
63844,swipe (deprecated),email
19155,xtp,sv_P5
26773,,sv_P3
34646,encap,sv_P4
35981,mpls-in-ip,sv_P5
32977,ipv6-opts,sv_P2
51798,dccp,email
59632,eigrp,sv_P1
16431,sscopmce,sv_P5
12829,sm (deprecated),email
6117,cftp,sv_P4
42112,bna,sv_P1
3345,igp,sv_P1
29725,xtp,sv_P1
8712,sprite-rpc,sv_P2
41127,ax.25,sv_P2
25587,rdp,sv_P2
24035,hip,sv_P4
6940,irtp,email
38650,aggfrag,sv_P4
29213,wesp,sv_P4
8229,fire,email
55936,mux,sv_P4
15240,gmtp,email
14286,merit-inp,sv_P2
24311,ipcomp,sv_P5
32159,aris,sv_P1
31061,idrp,sv_P5
15177,skip,sv_P3
10296,ipx-in-ip,sv_P5
4622,ipv6-icmp,sv_P2
1785,sdrp,sv_P5
40559,hip,sv_P3
12457,etherip,sv_P1
26006,pnni,sv_P2
30990,ipx-in-ip,sv_P3
15958,compaq-peer,email
43928,,sv_P5
59559,mobility header,email
9351,chaos,sv_P3
56035,tcp,sv_P5
22505,tcf,sv_P3
7541,egp,sv_P1
53485,tcf,sv_P1
18143,ifmp,sv_P2
26454,swipe (deprecated),sv_P5
32311,mpls-in-ip,sv_P1
24040,pgm,sv_P5
47688,argus (deprecated),sv_P3
30467,ax.25,sv_P1
52423,srp,sv_P5
54159,swipe (deprecated),email
43831,rsvp,sv_P4
32646,crtp,sv_P5
48125,ipv6-nonxt,sv_P5
38450,mux,sv_P3
35137,aggfrag,sv_P4
7110,esp,email
12373,wsn,sv_P4
51811,cphb,sv_P2
51935,xnet,sv_P2
63467,iso-tp4,sv_P5
57827,hmp,sv_P5
38527,ipv6-icmp,sv_P4
40136,pnni,sv_P1
1956,bna,sv_P1
20586,pgm,email
54659,mux,sv_P1
16491,eigrp,sv_P1
12686,ipv4,sv_P4
36543,gmtp,sv_P5
1090,micp (deprecated),email
63511,snp,sv_P3
29905,ospfigp,sv_P3
56183,bbn-rcc-mon,email
26907,ipv6-icmp,sv_P4
142,ptp,sv_P2
55976,dsr,sv_P4
60261,ipx-in-ip,sv_P2
36582,cpnx,sv_P5
4613,sprite-rpc,sv_P1
29389,bna,sv_P3
16464,iso-ip,sv_P2
20101,ipv4,sv_P5
25970,ipv6-nonxt,sv_P3
7169,a/n,sv_P5
60934,cphb,sv_P5
60373,iplt,sv_P2
55248,xnet,sv_P1
34767,nvp-ii,sv_P5
15841,qnx,sv_P3
51637,argus (deprecated),sv_P4
28979,mtp,email
61768,ipv6-frag,sv_P2
29392,shim6,email
40408,mobility header,email
12503,idrp,sv_P1
25871,sat-expak,sv_P1
45033,visa,email
53989,sdrp,sv_P4
55203,ptp,sv_P2
11731,tp++,sv_P1
53672,l2tp,sv_P4
14162,sat-mon,sv_P4
6055,a/n,sv_P2
52985,ospfigp,sv_P1
1353,mux,sv_P3
17280,kryptolan,email
13206,tp++,email
21148,ipv6-opts,sv_P1
34997,mux,sv_P2
43698,nvp-ii,sv_P3
19285,min-ipv4,sv_P4
19707,udp,sv_P3
62291,vmtp,sv_P3
21002,ipv6-frag,sv_P5
39276,aggfrag,sv_P1
47515,ipcv,sv_P1
48713,cbt,sv_P2
51095,min-ipv4,sv_P3
4068,shim6,email
13300,igmp,sv_P5
49596,mpls-in-ip,sv_P1
62655,xtp,sv_P3
23813,nsfnet-igp,sv_P3
33344,a/n,sv_P5
4872,sat-mon,sv_P5
20687,ippc,sv_P1
43476,etherip,sv_P1
18365,pgm,sv_P2
1893,udplite,sv_P5
23968,xnet,sv_P2
54212,mobility header,sv_P3
59776,fc,email
8163,hopopt,sv_P3
64524,vmtp,sv_P3
53864,gre,sv_P4
30455,ospfigp,sv_P1
32646,sat-mon,sv_P5
28069,rdp,email
